model,target,layer,metric,score
ResNet,hV4,layer3-25,RSA,0.18752746458217937
ResNet,hV4,layer3-30,CKA,0.15618251228273328
ResNet,hV4,layer3-30,RSA,0.18047364332830457
ResNet,hV4,layer3-5,CKA,0.14526603483994668
ResNet,hV4,layer3-5,RSA,0.1602311103901288
ResNet,hV4,layer4-1,CKA,0.13388292372538685
ResNet,hV4,layer4-1,RSA,0.16350746015949513
ResNet,ventral,layer1-0,CKA,0.0582962808646978
ResNet,ventral,layer1-0,RSA,0.06928016941098526
ResNet,ventral,layer2-0,CKA,0.08012938804823393
ResNet,ventral,layer2-0,RSA,0.0963632940802451
ResNet,ventral,layer3-0,CKA,0.13251247289906307
ResNet,ventral,layer3-0,RSA,0.16437669328198828
ResNet,ventral,layer3-10,CKA,0.1963718405594641
ResNet,ventral,layer3-10,RSA,0.24332813244871776
ResNet,ventral,layer3-15,CKA,0.24367919242936745
ResNet,ventral,layer3-15,RSA,0.30021521867139966
ResNet,ventral,layer3-20,CKA,0.24464697571444124
ResNet,ventral,layer3-20,RSA,0.3042408040153782
ResNet,ventral,layer3-25,CKA,0.25240164037152146
ResNet,ventral,layer3-25,RSA,0.31543969626567325
ResNet,ventral,layer3-30,CKA,0.23920893877890276
ResNet,ventral,layer3-30,RSA,0.2958224122545111
ResNet,ventral,layer3-5,CKA,0.15382558554905545
ResNet,ventral,layer3-5,RSA,0.18969884140440554
ResNet,ventral,layer4-1,CKA,0.23170783719268503
ResNet,ventral,layer4-1,RSA,0.28641504611558305
